genre,filename,body part,count
gruwel_en_spektakeltoneel,vos_002mede03_01.xml,mind,1
gruwel_en_spektakeltoneel,vos_002mede03_01.xml,hair,1
gruwel_en_spektakeltoneel,vos_002mede03_01.xml,breast,2
gruwel_en_spektakeltoneel,vos_002mede03_01.xml,spirit,1
gruwel_en_spektakeltoneel,vos_002mede03_01.xml,soul,1
gruwel_en_spektakeltoneel,vos_002mede03_01.xml,bile,1
gruwel_en_spektakeltoneel,vos_002mede03_01.xml,jaws,1
gruwel_en_spektakeltoneel,zeer001eers01_01.xml,eyes,2
gruwel_en_spektakeltoneel,zeer001eers01_01.xml,senses,4
gruwel_en_spektakeltoneel,zeer001eers01_01.xml,mind,1
gruwel_en_spektakeltoneel,zeer001eers01_01.xml,heart,5
gruwel_en_spektakeltoneel,zeer001eers01_01.xml,blood,1
gruwel_en_spektakeltoneel,zeer001eers01_01.xml,body,2
gruwel_en_spektakeltoneel,zeer001eers01_01.xml,breast,1
gruwel_en_spektakeltoneel,zeer001eers01_01.xml,face,1
gruwel_en_spektakeltoneel,zeer001eers01_01.xml,spirit,1
gruwel_en_spektakeltoneel,vos_002aran03_01.xml,face,1
gruwel_en_spektakeltoneel,vos_002aran03_01.xml,blood,6
gruwel_en_spektakeltoneel,vos_002aran03_01.xml,tears,3
gruwel_en_spektakeltoneel,vos_002aran03_01.xml,wound,3
gruwel_en_spektakeltoneel,vos_002aran03_01.xml,lips,1
gruwel_en_spektakeltoneel,vos_002aran03_01.xml,breast,4
gruwel_en_spektakeltoneel,vos_002aran03_01.xml,ears,1
gruwel_en_spektakeltoneel,vos_002aran03_01.xml,hands,5
gruwel_en_spektakeltoneel,vos_002aran03_01.xml,veins,1
gruwel_en_spektakeltoneel,vos_002aran03_01.xml,heart,4
gruwel_en_spektakeltoneel,vos_002aran03_01.xml,head,2
gruwel_en_spektakeltoneel,vos_002aran03_01.xml,voice,1
gruwel_en_spektakeltoneel,vos_002aran03_01.xml,limbs,1
gruwel_en_spektakeltoneel,vos_002aran03_01.xml,eyes,1
gruwel_en_spektakeltoneel,asse001open01_01.xml,blood,1
gruwel_en_spektakeltoneel,asse001open01_01.xml,hands,2
gruwel_en_spektakeltoneel,asse001open01_01.xml,head,1
gruwel_en_spektakeltoneel,asse001open01_01.xml,heart,1
gruwel_en_spektakeltoneel,bont001bele02_01.xml,hands,2
gruwel_en_spektakeltoneel,bont001bele02_01.xml,face,1
gruwel_en_spektakeltoneel,bont001bele02_01.xml,limbs,2
gruwel_en_spektakeltoneel,bont001bele02_01.xml,soul,1
gruwel_en_spektakeltoneel,bont001bele02_01.xml,body,1
gruwel_en_spektakeltoneel,kalb001muli01_01.xml,soul,2
gruwel_en_spektakeltoneel,kalb001muli01_01.xml,spirit,1
gruwel_en_spektakeltoneel,kalb001muli01_01.xml,body,2
gruwel_en_spektakeltoneel,kalb001muli01_01.xml,sweat,1
gruwel_en_spektakeltoneel,kalb001muli01_01.xml,heart,7
gruwel_en_spektakeltoneel,kalb001muli01_01.xml,hands,1
gruwel_en_spektakeltoneel,kalb001muli01_01.xml,blood,2
gruwel_en_spektakeltoneel,kalb001muli01_01.xml,eyes,1
gruwel_en_spektakeltoneel,kalb001muli01_01.xml,mind,1
gruwel_en_spektakeltoneel,kalb001muli01_01.xml,arms,1
